日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,3931.82,3820.4,3934.2,3796.34,217898724,388636586639.3,3.5,-2.91,-114.51,0.66
2025-01-03,3825.24,3775.16,3835.94,3767.67,175342676,304322755435.9,1.79,-1.18,-45.24,0.53
2025-01-06,3775.99,3768.97,3788.85,3743.07,150946670,262803541116.2,1.21,-0.16,-6.19,0.46
2025-01-07,3760.87,3796.11,3797.6,3749.06,146455779,266855795347.4,1.29,0.72,27.14,0.45
2025-01-08,3781.26,3789.22,3810.74,3731.19,169166968,300965725432.7,2.1,-0.18,-6.89,0.51
2025-01-09,3780.73,3779.88,3795.26,3768.68,129794002,251486002819.8,0.7,-0.25,-9.34,0.39
2025-01-10,3778.89,3732.48,3786.81,3732.48,137523171,275354209064.3,1.44,-1.25,-47.4,0.42
2025-01-13,3704.44,3722.51,3737.89,3704.11,136446199,247861953196.7,0.91,-0.27,-9.97,0.42
2025-01-14,3728.56,3820.54,3826.64,3718.88,170664657,345461480063.6,2.89,2.63,98.03,0.52
2025-01-15,3810.04,3796.03,3816.83,3790.17,141475520,278850595531.7,0.7,-0.64,-24.51,0.43
2025-01-16,3812.19,3800.38,3842.95,3776.29,144505871,305734630771.3,1.76,0.11,4.35,0.44
2025-01-17,3788.37,3812.34,3831.64,3780.21,126621961,265437489593.6,1.35,0.31,11.96,0.39
2025-01-20,3835.3,3829.68,3858.67,3821.98,139581277,292175449108.6,0.96,0.45,17.34,0.42
2025-01-21,3850.36,3832.61,3850.91,3817.12,141218406,285073351693.4,0.88,0.08,2.93,0.43
2025-01-22,3823.94,3797.02,3823.94,3783.14,137255062,298745637551.4,1.06,-0.93,-35.59,0.42
2025-01-23,3829.05,3803.74,3864.26,3801.85,180569551,345198071113.9,1.64,0.18,6.72,0.55
2025-01-24,3793.85,3832.86,3847.6,3793.48,148971722,296474375469.1,1.42,0.77,29.12,0.45
2025-01-27,3836.96,3817.08,3852.0,3817.08,146670772,282940127540.6,0.91,-0.41,-15.78,0.45
2025-02-05,3844.7,3795.08,3844.7,3785.16,157168308,346016202025.2,1.56,-0.58,-22.0,0.48
2025-02-06,3789.61,3842.83,3843.49,3788.32,167288176,371891971101.4,1.45,1.26,47.75,0.51
2025-02-07,3844.06,3892.7,3919.35,3833.87,221857707,487381557078.2,2.22,1.3,49.87,0.67
2025-02-10,3898.1,3901.06,3906.37,3878.83,188903040,384968342874.3,0.71,0.21,8.36,0.57
2025-02-11,3905.16,3883.14,3905.16,3872.91,166574909,337866056115.9,0.83,-0.46,-17.92,0.51
2025-02-12,3875.96,3919.86,3920.72,3867.35,164228540,354830596297.9,1.37,0.95,36.72,0.5
2025-02-13,3913.9,3905.14,3939.2,3904.98,172485874,376473453306.6,0.87,-0.38,-14.72,0.52
2025-02-14,3900.83,3939.01,3942.04,3900.83,172976452,360974236854.4,1.06,0.87,33.87,0.53
2025-02-17,3954.41,3947.4,3955.9,3921.7,213588246,430929575563.2,0.87,0.21,8.39,0.65
2025-02-18,3942.58,3912.78,3965.42,3901.87,209425101,400186229940.7,1.61,-0.88,-34.62,0.64
2025-02-19,3906.22,3940.16,3943.67,3904.15,182829517,363680372562.7,1.01,0.7,27.38,0.56
2025-02-20,3934.65,3928.9,3940.68,3916.18,163895236,325972429362.6,0.62,-0.29,-11.26,0.5
2025-02-21,3938.05,3978.44,3981.05,3927.79,227400330,504645493577.1,1.36,1.26,49.54,0.69
2025-02-24,3972.48,3969.72,3995.95,3949.23,220810618,455088749684.5,1.17,-0.22,-8.72,0.67
2025-02-25,3933.64,3925.65,3955.43,3915.65,178108580,377981451250.4,1.0,-1.11,-44.07,0.54
2025-02-26,3931.84,3959.94,3960.33,3925.37,191062501,386458193762.6,0.89,0.87,34.29,0.58
2025-02-27,3961.06,3968.12,3973.93,3933.46,202887963,428272792667.6,1.02,0.21,8.18,0.62
2025-02-28,3950.19,3890.05,3972.48,3886.4,198104147,420308043450.1,2.17,-1.97,-78.07,0.6
2025-03-03,3899.7,3888.47,3930.0,3872.59,177623166,356057735014.0,1.48,-0.04,-1.58,0.54
2025-03-04,3865.99,3885.22,3890.42,3855.73,149850967,297739246802.3,0.89,-0.08,-3.25,0.46
2025-03-05,3887.8,3902.57,3906.42,3877.02,158652751,290860484504.9,0.76,0.45,17.35,0.48
2025-03-06,3923.38,3956.24,3964.49,3917.08,193960915,397419427642.7,1.21,1.38,53.67,0.59
2025-03-07,3944.91,3944.01,3967.07,3935.05,166732375,340626700285.5,0.81,-0.31,-12.23,0.51
2025-03-10,3945.58,3928.8,3949.14,3905.13,152765232,292574987480.9,1.12,-0.39,-15.21,0.46
2025-03-11,3890.43,3941.42,3941.42,3889.43,144754402,287480453119.8,1.32,0.32,12.62,0.44
2025-03-12,3946.86,3927.23,3953.61,3921.47,156732190,309627267364.8,0.82,-0.36,-14.19,0.48
2025-03-13,3925.74,3911.58,3939.29,3897.38,156536443,295173112579.6,1.07,-0.4,-15.65,0.48
2025-03-14,3919.62,4006.56,4014.16,3919.62,216139003,450895278803.0,2.42,2.43,94.98,0.66
2025-03-17,4020.64,3996.79,4021.73,3992.26,162202911,318904417418.3,0.74,-0.24,-9.77,0.49
2025-03-18,4011.78,4007.72,4016.87,3995.96,140208496,292739319544.6,0.52,0.27,10.93,0.43
2025-03-19,4004.83,4010.17,4025.3,3989.51,144419428,286075300795.3,0.89,0.06,2.45,0.44
2025-03-20,4011.06,3974.99,4012.04,3969.93,133754670,260020676825.8,1.05,-0.88,-35.18,0.41
2025-03-21,3966.51,3914.7,3983.15,3904.77,165905294,309348613935.4,1.97,-1.52,-60.29,0.5
2025-03-24,3916.11,3934.85,3938.18,3907.2,152234674,266051442612.7,0.79,0.51,20.15,0.46
2025-03-25,3937.9,3932.3,3946.36,3921.53,140475399,239246310985.8,0.63,-0.06,-2.55,0.43
2025-03-26,3930.21,3919.36,3942.03,3916.86,131164187,220943164486.2,0.64,-0.33,-12.94,0.4
2025-03-27,3911.38,3932.41,3952.99,3903.65,126793738,232173613774.0,1.26,0.33,13.05,0.39
2025-03-28,3930.78,3915.17,3934.23,3907.38,126356214,213379194289.3,0.68,-0.44,-17.24,0.38
2025-03-31,3905.98,3887.31,3928.45,3872.4,166798523,268480316572.3,1.43,-0.71,-27.86,0.51
2025-04-01,3892.78,3887.68,3905.26,3882.4,140380274,246041674670.2,0.59,0.01,0.37,0.43
2025-04-02,3884.42,3884.39,3900.49,3877.16,113043175,198267515342.4,0.6,-0.08,-3.29,0.34
2025-04-03,3843.42,3861.5,3883.7,3843.42,142599789,263684681545.1,1.04,-0.59,-22.89,0.43
2025-04-07,3675.2,3589.44,3707.78,3514.12,312578586,512971787744.6,5.02,-7.05,-272.06,0.95
2025-04-08,3597.99,3650.76,3650.76,3583.87,280197312,464021087837.5,1.86,1.71,61.32,0.85
2025-04-09,3606.1,3686.79,3686.79,3587.34,262305708,455031069289.8,2.72,0.99,36.03,0.8
2025-04-10,3749.13,3735.12,3756.14,3708.82,227252227,403842564855.5,1.28,1.31,48.33,0.69
2025-04-11,3730.31,3750.52,3762.37,3708.46,168759691,318535141904.4,1.44,0.41,15.4,0.51
2025-04-14,3772.04,3759.14,3776.63,3754.03,164462403,292571297039.1,0.6,0.23,8.62,0.5
2025-04-15,3756.48,3761.23,3764.49,3737.85,134006040,228604621375.8,0.71,0.06,2.09,0.41
2025-04-16,3757.88,3772.82,3775.17,3721.6,156359006,261711094768.5,1.42,0.31,11.59,0.48
2025-04-17,3755.09,3772.22,3779.13,3749.5,122371002,209012323066.2,0.79,-0.02,-0.6,0.37
2025-04-18,3760.04,3772.52,3782.04,3754.41,102948509,173109384097.2,0.73,0.01,0.3,0.31
2025-04-21,3768.14,3784.88,3790.18,3763.14,121355730,208085677382.1,0.72,0.33,12.36,0.37
2025-04-22,3780.11,3783.95,3799.23,3778.08,125688257,210200698793.7,0.56,-0.02,-0.93,0.38
2025-04-23,3803.43,3786.88,3807.95,3780.52,131986870,247117386122.1,0.72,0.08,2.93,0.4
2025-04-24,3787.46,3784.36,3807.26,3775.21,117164560,205483051375.0,0.85,-0.07,-2.52,0.36
2025-04-25,3792.08,3786.99,3801.58,3780.78,124591133,220535052619.3,0.55,0.07,2.63,0.38
2025-04-28,3786.39,3781.62,3792.01,3772.8,125145091,210635318523.2,0.51,-0.14,-5.37,0.38
