日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,002594,288.49,276.59,288.57,274.91,168784,4624073917.86,4.74,-4.01,-11.56,1.45
2025-01-03,002594,276.99,276.22,280.08,273.73,99365,2693072230.19,2.3,-0.13,-0.37,0.85
2025-01-06,002594,277.43,276.77,279.38,274.52,82447,2236590143.88,1.76,0.2,0.55,0.71
2025-01-07,002594,276.77,279.52,283.22,272.99,95722,2627167272.83,3.7,0.99,2.75,0.82
2025-01-08,002594,278.48,274.67,279.48,271.3,109082,2933447141.97,2.93,-1.74,-4.85,0.94
2025-01-09,002594,274.49,274.88,277.19,272.15,65613,1766873664.35,1.83,0.08,0.21,0.56
2025-01-10,002594,274.49,271.51,275.88,270.27,80548,2147363099.92,2.04,-1.23,-3.37,0.69
2025-01-13,002594,268.49,271.49,273.96,267.7,67214,1787448697.26,2.31,-0.01,-0.02,0.58
2025-01-14,002594,271.83,281.79,282.64,271.5,125790,3438827616.87,4.1,3.79,10.3,1.08
2025-01-15,002594,281.69,280.18,282.8,279.99,62336,1718769123.17,1.0,-0.57,-1.61,0.54
2025-01-16,002594,280.19,278.25,282.82,276.02,72572,1984685717.9,2.43,-0.69,-1.93,0.62
2025-01-17,002594,279.01,282.09,284.69,277.97,86142,2376770800.05,2.42,1.38,3.84,0.74
2025-01-20,002594,284.49,289.92,291.92,284.41,135797,3863727458.08,2.66,2.78,7.83,1.17
2025-01-21,002594,290.49,291.54,292.92,288.49,76441,2184132797.3,1.53,0.56,1.62,0.66
2025-01-22,002594,290.49,287.99,291.79,285.29,81057,2287303620.42,2.23,-1.22,-3.55,0.7
2025-01-23,002594,290.47,282.6,290.49,282.49,96174,2690601164.04,2.78,-1.87,-5.39,0.83
2025-01-24,002594,282.0,284.57,285.99,281.49,68144,1898979250.77,1.59,0.7,1.97,0.59
2025-01-27,002594,284.58,279.99,285.61,279.99,63408,1755529339.7,1.97,-1.61,-4.58,0.55
2025-02-05,002594,288.22,288.29,292.24,287.09,145351,4128876836.05,1.84,2.96,8.3,1.25
2025-02-06,002594,288.3,316.57,316.57,287.94,381459,11416508784.31,9.93,9.81,28.28,3.28
2025-02-07,002594,325.49,332.39,335.49,319.49,487075,15691989047.57,5.05,5.0,15.82,4.19
2025-02-10,002594,332.4,335.62,337.49,327.07,272711,8908518536.6,3.13,0.97,3.23,2.35
2025-02-11,002594,344.79,335.39,345.79,331.5,280364,9315885530.05,4.26,-0.07,-0.23,2.41
2025-02-12,002594,332.99,350.54,352.43,328.14,279357,9451048634.3,7.24,4.52,15.15,2.4
2025-02-13,002594,346.69,346.79,351.84,344.99,199840,6859997620.51,1.95,-1.07,-3.75,1.72
2025-02-14,002594,347.01,361.54,365.09,347.01,243645,8574633633.17,5.21,4.25,14.75,2.1
2025-02-17,002594,361.54,353.99,364.29,349.99,232015,8111345838.94,3.96,-2.09,-7.55,2.0
2025-02-18,002594,356.89,361.71,368.97,354.33,251797,8977762526.02,4.14,2.18,7.72,2.17
2025-02-19,002594,359.01,363.99,365.49,358.49,161918,5784129670.21,1.94,0.63,2.28,1.39
2025-02-20,002594,368.97,368.27,373.15,363.69,156937,5695876654.95,2.6,1.18,4.28,1.35
2025-02-21,002594,371.49,388.49,391.99,370.72,239292,9089497618.41,5.78,5.49,20.22,2.06
2025-02-24,002594,390.49,381.77,394.15,378.97,199407,7586289373.78,3.91,-1.73,-6.72,1.72
2025-02-25,002594,375.49,377.98,385.49,374.3,161103,6008878409.26,2.93,-0.99,-3.79,1.39
2025-02-26,002594,377.98,377.59,381.29,370.49,138529,5125594765.18,2.86,-0.1,-0.39,1.19
2025-02-27,002594,387.49,380.99,389.48,376.5,168446,6350435990.24,3.44,0.9,3.4,1.45
2025-02-28,002594,376.59,367.31,380.26,364.5,239304,8762214821.87,4.14,-3.59,-13.68,2.06
2025-03-03,002594,374.49,365.7,375.49,363.28,152078,5524500397.17,3.32,-0.44,-1.61,1.31
2025-03-04,002594,345.52,350.33,353.49,343.52,263453,9062924960.49,2.73,-4.2,-15.37,2.27
2025-03-05,002594,352.49,359.45,360.68,352.49,139069,4885879812.39,2.34,2.6,9.12,1.2
2025-03-06,002594,365.67,364.42,367.66,362.49,114601,4120637644.5,1.44,1.38,4.97,0.99
2025-03-07,002594,364.39,361.89,366.49,360.73,87584,3131517605.2,1.58,-0.69,-2.53,0.75
2025-03-10,002594,361.39,356.49,362.88,354.49,99177,3484351089.32,2.32,-1.49,-5.4,0.85
2025-03-11,002594,350.49,355.87,357.26,350.37,95370,3314689326.43,1.93,-0.17,-0.62,0.82
2025-03-12,002594,359.94,356.49,365.37,356.49,129511,4593312533.26,2.5,0.17,0.62,1.11
2025-03-13,002594,357.36,359.99,362.85,356.62,102211,3624758940.84,1.75,0.98,3.5,0.88
2025-03-14,002594,362.49,381.43,382.67,361.11,224697,8292987453.86,5.99,5.96,21.44,1.93
2025-03-17,002594,387.81,385.74,388.49,381.45,133069,5060211612.55,1.85,1.13,4.31,1.14
2025-03-18,002594,394.04,390.06,395.49,385.5,173339,6672881109.13,2.59,1.12,4.32,1.49
2025-03-19,002594,390.02,402.56,404.49,388.03,188352,7404859764.84,4.22,3.2,12.5,1.62
2025-03-20,002594,405.49,405.48,408.89,401.48,159413,6372989565.18,1.84,0.73,2.92,1.37
2025-03-21,002594,398.5,377.49,398.8,375.49,282107,10685254370.83,5.75,-6.9,-27.99,2.43
2025-03-24,002594,382.49,380.85,383.99,373.35,147894,5522974120.0,2.82,0.89,3.36,1.27
2025-03-25,002594,383.47,375.08,385.09,374.47,123085,4595791802.18,2.79,-1.52,-5.77,1.06
2025-03-26,002594,375.08,381.5,384.49,373.49,120205,4503762855.04,2.93,1.71,6.42,1.03
2025-03-27,002594,381.59,391.99,396.77,381.58,144394,5554865370.91,3.98,2.75,10.49,1.24
2025-03-28,002594,391.99,387.99,396.29,386.99,114940,4428715749.31,2.37,-1.02,-4.0,0.99
2025-03-31,002594,385.49,380.39,388.77,379.49,115784,4370400299.42,2.39,-1.96,-7.6,1.0
2025-04-01,002594,383.26,370.99,383.36,369.85,154072,5663384880.32,3.55,-2.47,-9.4,1.33
2025-04-02,002594,370.49,365.99,371.16,364.37,117100,4226638862.52,1.83,-1.35,-5.0,1.01
2025-04-03,002594,360.99,363.0,367.02,359.75,101023,3618676870.28,1.99,-0.82,-2.99,0.87
2025-04-07,002594,338.83,327.25,343.19,327.25,273498,8911483833.66,4.39,-9.85,-35.75,2.35
