日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,300750,492.08,478.63,492.17,475.43,233546,6090661831.0,3.41,-2.64,-13.0,0.6
2025-01-03,300750,478.63,476.56,486.23,475.8,185238,4812148522.0,2.18,-0.43,-2.07,0.47
2025-01-06,300750,477.23,474.98,480.83,468.23,172891,4433101113.0,2.64,-0.33,-1.58,0.44
2025-01-07,300750,450.23,461.84,466.43,446.77,401036,9934923663.0,4.14,-2.77,-13.14,1.03
2025-01-08,300750,455.61,454.44,459.78,450.8,271858,6681628785.0,1.94,-1.6,-7.4,0.7
2025-01-09,300750,447.26,458.02,463.28,446.91,169329,4168600175.0,3.6,0.79,3.58,0.43
2025-01-10,300750,456.53,455.63,462.74,453.25,147294,3643092329.0,2.07,-0.52,-2.39,0.38
2025-01-13,300750,451.13,457.26,462.83,448.43,180922,4467775090.0,3.16,0.36,1.63,0.46
2025-01-14,300750,458.7,473.99,475.43,454.2,202467,5108567634.0,4.64,3.66,16.73,0.52
2025-01-15,300750,473.99,464.39,474.35,462.23,150627,3798504600.0,2.56,-2.03,-9.6,0.39
2025-01-16,300750,466.43,462.7,471.11,459.69,161884,4056598313.0,2.46,-0.36,-1.69,0.41
2025-01-17,300750,460.13,465.53,469.13,459.37,111066,2786220135.0,2.11,0.61,2.83,0.28
2025-01-20,300750,474.53,490.76,494.52,474.18,342835,9048642227.0,4.37,5.42,25.23,0.88
2025-01-21,300750,496.13,488.35,496.59,486.62,138933,3681448144.0,2.03,-0.49,-2.41,0.36
2025-01-22,300750,484.43,477.23,489.65,470.4,250407,6440345376.0,3.94,-2.28,-11.12,0.64
2025-01-23,300750,480.56,476.33,485.33,475.39,165537,4291744662.0,2.08,-0.19,-0.9,0.42
2025-01-24,300750,475.85,484.15,491.64,475.85,224398,5876198259.0,3.31,1.64,7.82,0.58
2025-01-27,300750,484.17,477.63,488.38,477.63,171026,4460049868.0,2.22,-1.35,-6.52,0.44
2025-02-05,300750,483.03,468.85,486.63,466.92,240481,6141794779.0,4.13,-1.84,-8.78,0.62
2025-02-06,300750,466.83,470.61,471.31,463.59,248961,6261792979.0,1.65,0.38,1.76,0.64
2025-02-07,300750,477.63,485.34,487.64,467.95,344413,8922582684.0,4.18,3.13,14.73,0.88
2025-02-10,300750,485.34,480.24,485.68,474.36,229267,5928297100.0,2.33,-1.05,-5.1,0.59
2025-02-11,300750,483.82,468.27,483.93,466.94,247920,6268157349.0,3.54,-2.49,-11.97,0.64
2025-02-12,300750,465.05,474.57,475.83,459.78,273822,6902713445.0,3.43,1.35,6.3,0.7
2025-02-13,300750,475.81,485.53,490.21,474.21,375350,9803005760.0,3.37,2.31,10.96,0.96
2025-02-14,300750,485.79,500.51,506.43,485.79,387800,10409880413.0,4.25,3.09,14.98,0.99
2025-02-17,300750,509.85,499.95,509.85,493.87,241830,6513084025.0,3.19,-0.11,-0.56,0.62
2025-02-18,300750,506.36,502.42,510.93,499.23,238458,6497674092.0,2.34,0.49,2.47,0.61
2025-02-19,300750,498.46,507.42,511.83,498.42,204455,5580141095.0,2.67,1.0,5.0,0.52
2025-02-20,300750,506.07,501.39,506.07,495.63,195890,5267400818.0,2.06,-1.19,-6.03,0.5
2025-02-21,300750,498.48,511.02,513.42,497.04,309519,8443562273.0,3.27,1.92,9.63,0.79
2025-02-24,300750,506.45,503.73,509.49,497.72,277538,7510840227.0,2.3,-1.43,-7.29,0.71
2025-02-25,300750,496.5,500.1,508.23,491.15,232094,6243748571.0,3.39,-0.72,-3.63,0.59
2025-02-26,300750,503.64,498.55,506.22,495.96,211731,5698649749.0,2.05,-0.31,-1.55,0.54
2025-02-27,300750,501.52,501.03,504.09,496.84,231851,6250587949.0,1.45,0.5,2.48,0.59
2025-02-28,300750,500.31,490.77,503.39,489.53,222655,5935077344.0,2.77,-2.05,-10.26,0.57
2025-03-03,300750,492.03,507.39,517.77,487.06,387364,10603328988.0,6.26,3.39,16.62,0.99
2025-03-04,300750,501.03,488.43,502.83,487.95,268365,7115460892.0,2.93,-3.74,-18.96,0.69
2025-03-05,300750,488.43,484.81,490.03,480.33,208696,5438997025.0,1.99,-0.74,-3.62,0.53
2025-03-06,300750,487.08,490.79,492.99,484.83,250273,6601078271.0,1.68,1.23,5.98,0.64
2025-03-07,300750,488.36,484.4,489.48,480.66,222871,5812794648.0,1.8,-1.3,-6.39,0.57
2025-03-10,300750,486.27,476.73,486.38,471.53,286751,7355227161.0,3.07,-1.58,-7.67,0.73
2025-03-11,300750,470.56,474.39,474.93,470.52,171351,4355529582.0,0.93,-0.49,-2.34,0.44
2025-03-12,300750,475.85,473.13,476.95,467.71,199147,5058919203.0,1.95,-0.27,-1.26,0.51
2025-03-13,300750,472.23,470.83,481.59,470.43,168852,4316530458.0,2.36,-0.49,-2.3,0.43
2025-03-14,300750,470.43,486.63,491.76,469.8,351089,9148092796.0,4.66,3.36,15.8,0.9
2025-03-17,300750,488.61,475.83,492.88,475.36,335155,8685706367.0,3.6,-2.22,-10.8,0.86
2025-03-18,300750,479.43,477.63,484.44,474.93,225767,5817534421.0,2.0,0.38,1.8,0.58
2025-03-19,300750,477.99,492.73,495.58,477.24,369541,9737109378.0,3.84,3.16,15.1,0.95
2025-03-20,300750,492.73,486.9,494.73,484.87,144247,3794188019.0,2.0,-1.18,-5.83,0.37
2025-03-21,300750,487.86,475.83,491.19,475.24,194320,5026360931.0,3.28,-2.27,-11.07,0.5
2025-03-24,300750,478.89,479.72,481.2,476.34,167302,4311680872.0,1.02,0.82,3.89,0.43
2025-03-25,300750,478.91,482.1,483.03,474.55,127858,3303477319.0,1.77,0.5,2.38,0.33
2025-03-26,300750,481.95,477.49,487.89,477.09,129046,3336108307.0,2.24,-0.96,-4.61,0.33
2025-03-27,300750,476.17,481.02,488.07,472.68,141792,3675726420.0,3.22,0.74,3.53,0.36
2025-03-28,300750,476.03,477.27,481.02,475.47,112421,2888588257.0,1.15,-0.78,-3.75,0.29
2025-03-31,300750,475.94,470.32,479.4,468.85,194634,4951863265.0,2.21,-1.46,-6.95,0.5
2025-04-01,300750,470.32,463.34,473.13,462.48,194162,4862442756.0,2.26,-1.48,-6.98,0.5
2025-04-02,300750,465.39,463.48,469.46,460.64,137321,3433096886.0,1.9,0.03,0.14,0.35
2025-04-03,300750,456.03,452.58,460.89,451.62,232816,5693962717.0,2.0,-2.35,-10.9,0.6
2025-04-07,300750,421.99,402.43,429.03,391.43,723646,15811389636.0,8.31,-11.08,-50.15,1.85
2025-04-08,300750,410.94,409.32,420.03,404.55,476594,10471952816.0,3.85,1.71,6.89,1.22
2025-04-09,300750,398.29,395.53,408.78,393.19,536023,11459705354.0,3.81,-3.37,-13.79,1.37
2025-04-10,300750,412.83,407.4,416.05,402.86,372741,8168675412.0,3.33,3.0,11.87,0.96
2025-04-11,300750,403.83,418.23,421.02,401.49,302991,6696905324.0,4.79,2.66,10.83,0.78
2025-04-14,300750,423.9,418.23,425.43,415.86,206965,4642121045.0,2.29,0.0,0.0,0.53
2025-04-15,300750,421.83,425.7,429.84,420.25,266865,6087451729.0,2.29,1.79,7.47,0.68
2025-04-16,300750,423.63,419.83,423.96,413.82,216551,4838764472.0,2.38,-1.38,-5.87,0.55
2025-04-17,300750,416.43,421.83,424.23,415.03,157377,3551280611.0,2.19,0.48,2.0,0.4
2025-04-18,300750,420.41,420.86,422.73,417.62,115128,2588857714.0,1.21,-0.23,-0.97,0.3
2025-04-21,300750,420.86,431.48,438.03,418.56,220082,5088523082.0,4.63,2.52,10.62,0.56
2025-04-22,300750,437.2,438.44,439.28,432.16,169354,3885729764.0,1.65,1.61,6.96,0.43
2025-04-23,300750,446.2,443.23,452.95,442.6,191980,4507058716.0,2.36,1.09,4.79,0.49
2025-04-24,300750,445.3,449.56,452.78,441.25,181554,4297351278.0,2.6,1.43,6.33,0.47
2025-04-25,300750,450.16,449.08,451.45,446.36,127620,3016796564.0,1.13,-0.11,-0.48,0.33
2025-04-28,300750,452.05,445.93,452.06,442.96,143124,3357178149.0,2.03,-0.7,-3.15,0.37
2025-04-29,300750,444.4,440.85,445.84,438.49,167424,3892978723.0,1.65,-1.14,-5.08,0.43
2025-04-30,300750,442.69,439.9,445.08,439.9,156328,3635403837.0,1.18,-0.22,-0.95,0.4
2025-05-06,300750,444.23,440.13,448.54,439.36,196877,4591289270.0,2.09,0.05,0.23,0.5
2025-05-07,300750,448.81,452.69,456.78,448.14,312810,7444719326.0,1.96,2.85,12.56,0.8
2025-05-08,300750,454.28,463.42,470.82,451.56,312856,7666995082.0,4.25,2.37,10.73,0.8
2025-05-09,300750,466.12,470.08,472.78,463.57,236933,5858468263.0,1.99,1.44,6.66,0.61
2025-05-12,300750,482.2,485.8,487.58,478.6,302315,7731591601.0,1.91,3.34,15.72,0.77
2025-05-13,300750,494.8,488.98,494.8,482.23,204806,5281511474.0,2.59,0.65,3.18,0.52
2025-05-14,300750,488.98,495.88,499.22,484.01,231463,6020688165.0,3.11,1.41,6.9,0.59
2025-05-15,300750,495.91,491.52,496.36,490.48,141119,3685574613.0,1.19,-0.88,-4.36,0.36
