日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600519,8863.55,8682.65,8866.01,8642.46,50029,7490883773.0,2.52,-2.04,-180.9,0.4
2025-01-03,600519,8715.32,8617.33,8717.78,8577.18,32628,4836610288.0,1.62,-0.75,-65.32,0.26
2025-01-06,600519,8506.79,8441.46,8555.33,8405.29,44255,6392479712.0,1.74,-2.04,-175.87,0.35
2025-01-07,600519,8464.88,8442.47,8501.21,8436.44,24221,3494634227.0,0.77,0.01,1.01,0.19
2025-01-08,600519,8441.46,8454.03,8500.86,8374.43,35258,5071821246.0,1.5,0.14,11.56,0.28
2025-01-09,600519,8486.64,8461.56,8564.97,8406.19,29706,4295852736.0,1.88,0.09,7.53,0.24
2025-01-10,600519,8477.14,8421.37,8501.51,8421.37,21872,3154677598.0,0.95,-0.47,-40.19,0.17
2025-01-13,600519,8366.09,8461.46,8463.77,8351.07,21083,3030806870.0,1.34,0.48,40.09,0.17
2025-01-14,600519,8466.34,8604.77,8635.82,8451.51,30957,4535651504.0,2.18,1.69,143.31,0.25
2025-01-15,600519,8577.13,8598.59,8615.32,8542.01,18399,2701518712.0,0.85,-0.07,-6.18,0.15
2025-01-16,600519,8612.31,8473.52,8655.82,8451.51,26342,3840411437.0,2.38,-1.45,-125.07,0.21
2025-01-17,600519,8473.57,8515.58,8546.99,8473.52,18309,2663227309.0,0.87,0.5,42.06,0.15
2025-01-20,600519,8546.99,8616.33,8691.65,8541.96,31410,4647626351.0,1.76,1.18,100.75,0.25
2025-01-21,600519,8647.48,8582.91,8652.51,8567.08,16856,2481821229.0,0.99,-0.39,-33.42,0.13
2025-01-22,600519,8558.39,8446.49,8581.91,8431.41,28294,4088101682.0,1.75,-1.59,-136.42,0.23
2025-01-23,600519,8491.56,8456.54,8582.16,8431.41,27125,3932700850.0,1.78,0.12,10.05,0.22
2025-01-24,600519,8451.51,8421.37,8480.61,8392.77,31360,4515322685.0,1.04,-0.42,-35.17,0.25
2025-01-27,600519,8426.39,8416.29,8461.41,8376.24,29356,4213534543.0,1.01,-0.06,-5.08,0.23
2025-02-05,600519,8441.46,8259.57,8456.54,8251.58,40757,5753730034.0,2.44,-1.86,-156.72,0.32
2025-02-06,600519,8240.52,8304.99,8350.97,8240.52,27356,3859568163.0,1.34,0.55,45.42,0.22
2025-02-07,600519,8309.21,8421.37,8454.93,8257.61,37242,5310850624.0,2.38,1.4,116.38,0.3
2025-02-10,600519,8431.41,8398.8,8441.46,8376.59,20840,2988101756.0,0.77,-0.27,-22.57,0.17
2025-02-11,600519,8416.09,8330.92,8421.16,8320.37,23573,3348668867.0,1.2,-0.81,-67.88,0.19
2025-02-12,600519,8330.92,8456.54,8466.59,8325.29,25476,3644170477.0,1.7,1.51,125.62,0.2
2025-02-13,600519,8456.64,8567.39,8618.59,8413.88,43385,6335985851.0,2.42,1.31,110.85,0.35
2025-02-14,600519,8567.39,8617.33,8627.38,8533.02,27100,3978694098.0,1.1,0.58,49.94,0.22
2025-02-17,600519,8647.48,8600.35,8717.73,8577.64,32471,4804663813.0,1.63,-0.2,-16.98,0.26
2025-02-18,600519,8592.21,8617.33,8707.73,8552.41,27800,4113845397.0,1.81,0.2,16.98,0.22
2025-02-19,600519,8617.58,8697.73,8715.01,8566.58,32393,4803378441.0,1.72,0.93,80.4,0.26
2025-02-20,600519,8657.53,8612.31,8702.6,8609.24,23750,3513552984.0,1.07,-0.98,-85.42,0.19
2025-02-21,600519,8642.46,8683.71,8726.52,8607.33,36418,5418169587.0,1.38,0.83,71.4,0.29
2025-02-24,600519,8682.65,8637.78,8740.54,8612.31,34744,5157907322.0,1.48,-0.53,-45.93,0.28
2025-02-25,600519,8592.26,8511.81,8609.24,8501.76,28387,4142814459.0,1.24,-1.46,-125.97,0.23
2025-02-26,600519,8519.1,8542.01,8566.88,8466.59,26366,3835949041.0,1.18,0.35,30.2,0.21
2025-02-27,600519,8542.06,8670.39,8692.2,8511.81,49762,7368002361.0,2.11,1.5,128.38,0.4
2025-02-28,600519,8670.09,8746.92,8885.56,8652.51,56129,8475738166.0,2.69,0.88,76.53,0.45
2025-03-03,600519,8756.02,8677.73,8848.42,8649.99,31596,4736679903.0,2.27,-0.79,-69.19,0.25
2025-03-04,600519,8667.58,8592.76,8672.6,8568.14,25211,3710675863.0,1.2,-0.98,-84.97,0.2
2025-03-05,600519,8602.26,8573.97,8612.31,8542.46,24605,3606932152.0,0.81,-0.22,-18.79,0.2
2025-03-06,600519,8612.31,8773.0,8794.2,8602.66,42168,6297117400.0,2.23,2.32,199.03,0.34
2025-03-07,600519,8758.03,8848.47,8885.46,8758.03,37991,5760608729.0,1.45,0.86,75.47,0.3
2025-03-10,600519,8842.49,8858.02,8878.02,8773.8,31369,4758789260.0,1.18,0.11,9.55,0.25
2025-03-11,600519,8828.37,8987.56,8987.56,8803.25,39776,6094007854.0,2.08,1.46,129.54,0.32
2025-03-12,600519,8978.92,8956.91,8992.58,8875.36,29604,4552923644.0,1.3,-0.34,-30.65,0.24
2025-03-13,600519,8964.04,8932.74,9021.83,8898.12,25724,3966369271.0,1.38,-0.27,-24.17,0.2
2025-03-14,600519,8982.43,9386.18,9386.18,8948.97,92913,14882842708.0,4.89,5.08,453.44,0.74
2025-03-17,600519,9531.84,9435.67,9536.82,9380.5,54689,8985138902.0,1.67,0.53,49.49,0.44
2025-03-18,600519,9471.75,9366.03,9506.72,9354.47,31613,5153210436.0,1.61,-0.74,-69.64,0.25
2025-03-19,600519,9367.48,9424.87,9486.62,9361.0,27390,4477128770.0,1.34,0.63,58.84,0.22
2025-03-20,600519,9424.87,9265.53,9434.36,9220.66,36737,5903879207.0,2.27,-1.69,-159.34,0.29
2025-03-21,600519,9240.41,9113.53,9306.73,9088.81,33614,5324973190.0,2.35,-1.64,-152.0,0.27
2025-03-24,600519,9094.69,9160.01,9193.47,9056.4,25566,4032223482.0,1.5,0.51,46.48,0.2
2025-03-25,600519,9185.13,9122.32,9209.25,9077.9,17674,2783286813.0,1.43,-0.41,-37.69,0.14
2025-03-26,600519,9108.61,9124.84,9157.9,9099.71,14324,2257639750.0,0.64,0.03,2.52,0.11
2025-03-27,600519,9124.84,9190.16,9236.64,9111.67,17956,2848889210.0,1.37,0.72,65.32,0.14
2025-03-28,600519,9199.86,9171.11,9210.26,9124.84,16228,2569470015.0,0.93,-0.21,-19.05,0.13
2025-03-31,600519,9149.86,9049.46,9179.91,9044.74,21085,3311857714.0,1.47,-1.33,-121.65,0.17
2025-04-01,600519,9064.54,9024.44,9094.13,9005.3,18556,2893739955.0,0.98,-0.28,-25.02,0.15
