日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601318,143.94,139.96,144.0,139.32,948579,4877807223.0,3.25,-2.7,-3.88,0.88
2025-01-03,601318,140.54,139.14,140.72,138.7,551352,2788346287.0,1.44,-0.59,-0.82,0.51
2025-01-06,601318,139.64,139.22,139.78,138.2,413490,2077171909.0,1.14,0.06,0.08,0.38
2025-01-07,601318,138.92,138.88,139.26,138.16,392787,1967557698.0,0.79,-0.24,-0.34,0.36
2025-01-08,601318,138.9,139.14,139.7,137.64,510383,2555823167.0,1.48,0.19,0.26,0.47
2025-01-09,601318,139.06,138.16,139.36,138.14,400821,2005089617.0,0.88,-0.7,-0.98,0.37
2025-01-10,601318,138.18,136.44,138.7,136.34,522704,2576373866.0,1.71,-1.24,-1.72,0.49
2025-01-13,601318,135.5,135.72,136.14,134.74,511393,2474824396.0,1.03,-0.53,-0.72,0.48
2025-01-14,601318,135.72,137.26,137.7,135.54,615774,3024006484.0,1.59,1.13,1.54,0.57
2025-01-15,601318,137.04,136.76,137.86,136.36,458029,2251226874.0,1.09,-0.36,-0.5,0.43
2025-01-16,601318,137.14,137.04,138.04,136.4,415761,2052212529.0,1.2,0.2,0.28,0.39
2025-01-17,601318,136.74,137.3,137.68,136.08,460747,2273441157.0,1.17,0.19,0.26,0.43
2025-01-20,601318,137.98,138.16,139.14,137.86,491736,2458746694.0,0.93,0.63,0.86,0.46
2025-01-21,601318,138.94,138.34,139.32,137.86,409951,2049216698.0,1.06,0.13,0.18,0.38
2025-01-22,601318,137.98,136.44,138.38,136.24,530780,2606595142.0,1.55,-1.37,-1.9,0.49
2025-01-23,601318,138.18,139.28,141.44,138.1,969105,4910872825.0,2.45,2.08,2.84,0.9
2025-01-24,601318,138.9,140.26,141.28,138.74,616779,3140198840.0,1.82,0.7,0.98,0.57
2025-01-27,601318,140.6,140.24,141.78,140.16,524547,2681560916.0,1.15,-0.01,-0.02,0.49
2025-02-05,601318,140.5,137.98,140.54,137.88,583072,2921528575.0,1.9,-1.61,-2.26,0.54
2025-02-06,601318,138.0,139.04,139.54,137.9,415037,2078321191.0,1.19,0.77,1.06,0.39
2025-02-07,601318,138.9,140.3,141.42,138.22,725812,3679372001.0,2.3,0.91,1.26,0.67
2025-02-10,601318,140.32,140.34,141.26,140.14,431815,2203839896.0,0.8,0.03,0.04,0.4
2025-02-11,601318,140.94,139.58,141.02,139.28,381844,1931993468.0,1.24,-0.54,-0.76,0.35
2025-02-12,601318,139.58,140.7,140.78,138.9,446994,2261445451.0,1.35,0.8,1.12,0.42
2025-02-13,601318,140.38,140.58,142.1,140.16,590363,3019334998.0,1.38,-0.09,-0.12,0.55
2025-02-14,601318,140.52,141.94,142.26,140.14,599772,3080098770.0,1.51,0.97,1.36,0.56
2025-02-17,601318,142.2,142.22,143.3,141.36,625710,3245003133.0,1.37,0.2,0.28,0.58
2025-02-18,601318,141.88,141.16,142.9,140.94,650082,3362664791.0,1.38,-0.75,-1.06,0.6
2025-02-19,601318,140.92,141.44,142.2,140.58,464426,2388611401.0,1.15,0.2,0.28,0.43
2025-02-20,601318,141.0,140.1,141.16,139.86,515385,2620444374.0,0.92,-0.95,-1.34,0.48
2025-02-21,601318,140.52,140.94,141.54,139.46,668761,3415352331.0,1.48,0.6,0.84,0.62
