Id,kills,walkDistance,healsAndBoosts,weaponsAcquired,assists,cluster,churn,churn_probability
ef2d51d18a38cf,0,1157.0,1,6,2,3,0,5.031920748528522e-06
0ccf6e163b5009,6,1900.0,5,7,0,2,0,2.8464863182382276e-09
948c2d231060b2,1,4061.0,16,3,0,2,0,3.334628426479911e-16
3a5872249139fc,0,119.0,0,1,0,0,0,0.5852696131156105
a78cc239213b35,0,1489.0,4,5,0,1,0,6.681026916477306e-08
c9c0eddbf63319,0,757.1,0,2,0,0,0,0.0075585777851193
9c754cf2e39552,1,2627.0,9,6,1,2,0,3.357288314833473e-11
6f0a3fc5134110,0,0.0,0,0,0,0,1,0.7256418914271422
4f4a1fe62d1638,0,32.37,0,1,0,0,1,0.5866718614834465
660a11813c1435,0,193.0,1,1,0,0,0,0.1422675247534559
b0d4c2da1833e7,0,682.0,0,5,0,0,0,0.0008690733875812
aa87602a89b260,0,513.9,0,5,0,0,0,0.0022003679106511
db83247a4ac3fc,0,1303.0,2,2,0,0,0,1.7840524034185923e-05
e587faa90f33ab,0,230.6,0,2,0,0,1,0.3233579111315392
7fa0d3c38933f1,1,808.2,7,8,0,1,0,1.9842877011450937e-05
d3143943d62a78,0,308.3,0,1,0,0,0,0.0847304386659643
10e0e40494ff1d,1,2340.0,3,7,0,1,0,6.585983365015523e-11
adb2a8d8e56323,1,2918.0,3,4,0,1,0,3.5640409989443666e-11
a822ffd64c69f2,4,932.5,5,4,1,2,0,6.0746526457194e-05
7b46f925998c02,1,501.1,0,4,0,0,0,0.0025411316350983
d8f7ed9d94cba0,1,1355.0,1,4,0,1,0,1.3126926370000342e-05
751b266f1f3c0c,4,1460.0,12,6,1,2,0,2.244101535602589e-07
0726f741b4153a,4,2170.0,12,7,1,2,0,4.002972376890131e-12
e8a0b6cda4f3c7,3,2535.0,5,7,0,2,0,7.243706218967329e-12
5ae614f6d15004,0,47.95,0,2,0,0,1,0.5478736734609004
437f38fa676856,0,59.06,0,2,0,0,0,0.0368147347161636
