Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
ab772932dc284b,6f0931849c42fc,7558d7990b8795,0,0,161.3,3,2,0,7,1607,4,3,41.54,1377,squad-fpp,29,29,-1,1,0.0,0,0.0,0,0,565.3,2,1660,0.3929
f6e963587e1e61,f2724371458701,55d030157d6eb8,0,3,191.5,1,1,4,7,0,3,1,4.14,899,crashfpp,40,38,1500,0,1580.0,1,0.0,0,0,532.6,3,0,0.6923
eae2ba6cc7de4c,a8ddca0c7e8f74,0cf8e1dc70559e,0,2,100.0,0,0,1,24,1700,1,1,64.25,1324,solo-fpp,97,97,-1,0,450.7,0,0.0,0,0,1607.0,6,1593,0.7083
36d45a7e95b913,916c4c31723cdb,7b572f22974581,0,0,0.0,0,0,0,86,0,0,0,0.0,1307,squad,27,24,1500,0,0.0,0,0.0,0,0,134.6,1,0,0.1154
aa5867db86503b,76d57fc80f70f2,fc69844a437eae,3,2,289.9,2,0,9,14,0,2,1,22.46,1864,squad-fpp,28,26,1456,1,3950.0,0,0.0,0,0,2131.0,5,0,0.8148
9ec6c0ee672370,78935f8da2a64d,8a6b99c6d832f1,1,0,179.5,1,0,0,69,0,0,0,0.0,1876,squad-fpp,25,25,1456,1,0.0,0,0.0,0,0,837.6,4,0,0.3333
12661aef125fc1,30aeb970e0f6cc,08d0e0a1ee08ef,0,0,102.0,0,0,0,11,0,0,0,0.0,1808,solo,19,2,1500,0,0.0,0,0.0,0,0,0.0,2,0,0.0
59f1f08405cf55,45bd8c2766b800,d39627df3d2674,0,0,114.8,0,0,0,71,1326,0,0,0.0,1366,squad-fpp,29,29,-1,0,0.0,0,0.0,0,0,187.4,2,1526,0.3214
75addd0990dd56,9fa8efce2848b9,2cffecffc0c5f6,0,2,445.0,0,1,1,8,1317,3,1,88.48,1830,solo,95,88,0,0,1760.0,0,0.0,0,0,2391.0,2,1540,0.7553
aa2cfa6a6433c7,572a13c3cac92d,2bdd98ad30fa18,0,0,29.44,1,1,0,35,1270,1,1,8.526,1425,duo,49,45,-1,0,0.0,0,0.0,0,0,36.98,1,1462,0.0
58c64ea5d36547,b905b57fed3c17,2fd46d7e77c364,0,0,34.05,0,0,0,78,0,0,0,0.0,1889,solo-fpp,98,93,1500,0,0.0,0,0.0,0,0,161.7,2,0,0.1959
0ab1bbc4cd82aa,0cc9a1981f70c0,33b139db5906b5,1,7,224.9,1,0,5,15,0,2,1,33.65,1957,duo-fpp,46,45,1500,2,1644.0,0,0.0,0,0,4248.0,4,0,0.9556
b8cc25bf3a2054,6400a0e44fbd5a,481a02a43e7de6,0,0,218.9,2,0,0,9,1251,3,3,38.36,1262,squad-fpp,29,28,-1,1,0.0,0,0.0,0,0,219.8,3,1477,0.25
78083f4546981f,1e885e8238beda,ec64831a3777fc,1,0,82.16,0,0,0,84,0,0,0,0.0,1811,squad,27,27,1438,0,0.0,0,0.0,0,0,301.7,2,0,0.0769
6453aac4090dfb,ad818c592713e7,325f8804747823,0,0,56.76,0,0,0,63,0,0,0,0.0,1303,squad-fpp,29,29,1500,0,713.3,0,0.0,0,0,1511.0,3,0,0.5
0b476b6010ca27,f7408b2eef70ce,5d0f9f989be2f2,0,2,197.0,0,0,1,9,1570,2,1,20.31,1814,squad-fpp,27,27,-1,1,6108.0,0,0.0,0,0,2791.0,6,1564,1.0
8d8566bce47996,dfee1d29c57639,4db08531af5738,0,1,0.0,0,0,5,43,0,0,0,0.0,1437,squad-fpp,29,28,1482,0,0.0,0,0.0,0,0,2488.0,7,0,0.7143
62c08f9a874602,31ffb1fe40fb16,0b8c5c10b60eb9,1,3,336.8,2,1,7,4,1507,4,2,64.11,1423,squad,27,26,-1,2,0.0,0,0.0,0,0,2233.0,5,1578,1.0
6e0d7a11afcf51,aa7364ee2e7310,1d5db5cfc581bf,0,0,0.0,0,0,0,86,0,0,0,0.0,1365,duo-fpp,48,47,1449,0,0.0,0,0.0,0,0,63.66,0,0,0.0638
73187a4278895b,adb9654675026d,442ef2c876e11a,0,0,0.0,0,0,0,72,1155,0,0,0.0,1769,squad-fpp,30,29,-1,0,0.0,0,0.0,0,0,1903.0,2,1478,0.2759
9a8442a8665f20,b6c405ff3e35a2,f5c5b63f6d6d9e,0,1,100.0,0,0,1,39,0,1,1,5.558,1315,solo-fpp,94,90,1490,0,0.0,0,0.0,0,0,173.8,2,0,0.3118
e1dc1dc78923a6,18485c7c470b43,9b5aa6599c5c69,0,0,47.66,0,0,0,68,0,0,0,0.0,1364,solo-fpp,95,91,1568,0,0.0,0,0.0,0,0,186.3,1,0,0.2872
8d6d5baba5cd0e,b11575856b7ebe,720a82e6f19c19,0,2,130.9,1,0,8,31,0,1,1,23.7,1410,squad-fpp,26,26,1517,0,0.0,0,0.0,0,0,1665.0,4,0,0.6
a2aa813a509485,fde107a1ac9b58,dfaab7b230c64b,0,2,225.6,1,0,1,28,1261,1,1,0.983,1410,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,704.3,3,1520,0.6296
ccd0877d4e56db,833b59d0e8202a,b2cf90ae91c12c,0,3,200.0,1,1,1,11,1326,2,1,98.36,1257,squad-fpp,27,27,-1,0,0.0,0,0.0,0,0,3133.0,5,1415,1.0
8e7f2a3768cab0,abcec154c3e827,c30c0c9395c1cf,0,0,0.0,0,0,0,76,1283,0,0,0.0,1437,squad,27,24,-1,0,0.0,0,0.0,0,0,0.0,0,1442,0.0
f461b81381822f,5b57d90380126a,782443a3c9f7bb,1,1,560.8,4,0,5,2,1483,5,1,147.5,1399,squad-fpp,29,27,-1,0,453.9,0,0.0,0,0,2705.0,9,1566,0.8929
7a4d9303d4492c,647c18978cea50,c5a1f942bd6e1f,0,0,154.0,1,0,1,43,0,1,1,11.05,1375,squad-fpp,28,26,1702,0,0.0,0,0.0,0,0,138.2,2,0,0.0741
39d0b2c0807ad4,889cf178b9fee0,b6b23c73fbc36a,1,0,44.28,0,0,0,78,1015,0,0,0.0,1892,squad-fpp,29,27,-1,0,0.0,0,0.0,0,0,46.69,0,1490,0.2143
d55d6273961799,554b9ef44ee7e9,b26a243686c383,0,0,12.2,0,0,0,73,1127,0,0,0.0,1304,solo,96,93,-1,0,0.0,0,0.0,0,0,35.78,1,1522,0.2737
be7919bc31656b,27cdff0bb9a9c5,8995ed16853870,0,0,0.0,0,0,0,56,1000,0,0,0.0,1512,squad,27,25,-1,0,0.0,0,0.0,0,0,2247.0,3,1500,0.5385
67cb220b5a5939,0db727bc0e485c,80bf836f05d684,0,1,28.33,0,0,9,46,1170,0,0,0.0,1818,duo-fpp,48,46,-1,0,0.0,0,0.0,0,0,1207.0,7,1439,0.7021
c8ac4efecb753f,ef4bce6352d139,24cc6d01542812,0,1,100.0,1,0,2,36,0,1,1,9.049,1293,squad-fpp,28,27,1480,0,0.0,0,0.0,0,0,214.1,1,0,0.1111
742d7dc86c0225,088214529a3551,6079fc3318baae,0,4,0.0,1,0,10,36,0,0,0,0.0,1659,squad-fpp,21,20,1451,1,7221.0,0,0.0,0,0,2371.0,8,0,0.9
e72a9d03db080c,2cd609a31bcf60,7d60ebbe6e5307,1,5,256.8,2,0,7,15,1474,2,1,33.62,1376,squad-fpp,28,28,-1,0,1097.0,0,0.0,0,0,2874.0,4,1544,0.9259
47fac8065efd22,9d39cca4fa8a49,db7a8edba1789c,0,4,72.64,0,0,4,23,0,1,1,74.77,1423,duo,47,46,1521,0,0.0,0,0.0,0,0,2314.0,5,0,0.8696
10225b1adbc4d4,af8f9b3d6425da,61c90034dc8174,0,0,28.08,0,0,0,75,0,0,0,0.0,1758,squad-fpp,29,26,1419,0,0.0,0,0.0,0,0,86.41,2,0,0.25
75178d48263e10,6b662e541b0ecd,fe561c9882f01e,0,0,0.0,0,0,0,81,1110,0,0,0.0,1389,solo-fpp,99,95,-1,0,0.0,0,0.0,0,0,34.99,2,1510,0.1735
3576f98e5910c4,1caa2f4c8ace76,4284d2adca359e,0,2,485.2,3,0,0,17,0,2,2,8.879,1369,duo-fpp,49,46,1497,1,0.0,0,0.0,0,0,873.5,5,0,0.5625
c23d1045f6c103,181f3515bb21c0,4cd1b2e32431b7,0,0,0.0,0,0,0,75,0,0,0,0.0,2179,duo,47,44,1496,0,0.0,0,0.0,0,0,41.78,0,0,0.1957
3b32aaf5f2a39f,bd25680191d39f,99c8b5f8edc9d7,0,3,178.7,1,0,4,27,0,1,1,16.25,1373,squad-fpp,28,27,1491,1,469.6,0,0.0,1,0,1762.0,6,0,0.7407
4a4b48c9d87593,79109db46d0d75,d43a48b8f5cedc,0,0,60.01,0,0,0,83,0,0,0,0.0,1729,squad-fpp,26,26,1486,0,0.0,0,0.0,0,0,117.3,1,0,0.04
9c799740edc6d8,8c51da77006e9f,d9152b404ad22d,0,0,42.9,0,0,0,33,0,0,0,0.0,1435,squad-fpp,20,18,1589,0,0.0,0,0.0,0,0,9.452,1,0,0.8947
92efd656edb98b,c23c5c23b9bcc3,af000dbf798480,0,0,0.0,0,0,0,88,0,0,0,0.0,1326,squad-fpp,29,28,1472,0,0.0,0,0.0,0,0,8.821,1,0,0.1071
16085a64f4d790,bca14c985757f4,468e4eb4c74b0e,0,0,0.0,0,0,0,68,0,0,0,0.0,2183,duo,49,47,1505,0,0.0,0,0.0,0,0,289.1,4,0,0.3333
995cbfb098348f,67ef12e856065b,0c0ad7fdbc3ab5,0,4,376.6,0,0,1,3,0,4,1,18.31,1373,solo-fpp,88,85,1525,0,946.4,0,0.0,0,0,1305.0,5,0,0.931
c0f3ac2d87bd58,766f8ce7225e68,336d3a81ddfabd,1,3,158.6,2,0,0,14,1056,2,1,69.3,1974,squad,28,26,-1,0,0.0,0,0.0,0,0,1211.0,4,1516,0.4444
12e1820d6a51a1,673d04edf1bdf4,2de30be68106bd,0,1,195.6,1,0,4,31,1460,1,1,128.7,1385,squad-fpp,28,28,-1,1,0.0,0,0.0,0,0,1124.0,2,1528,0.6296
f5dfe3129e22b7,d57d36822cf5b4,be37d658d8f1c8,0,0,45.6,1,0,0,33,0,1,1,6.684,1284,squad,24,23,1483,0,0.0,0,0.0,0,0,168.4,6,0,0.2174
7e6bfb9e46afc8,1459f5ccf4d8ec,24b45989a9b337,1,4,340.4,1,0,5,27,0,1,1,6.48,1790,duo-fpp,47,44,1500,0,4159.0,0,0.0,0,0,1675.0,4,0,0.587
bb760873b62ee6,4cb33f8a7477ea,329f042ace690f,0,0,148.2,1,0,1,36,1336,1,1,5.673,1257,squad-fpp,30,29,-1,0,0.0,0,0.0,0,0,260.2,5,1504,0.3448
d3862f129a1b9f,9a71b6bab107cd,0c138002e3558c,0,3,246.3,0,1,4,12,0,2,1,86.51,1852,solo-fpp,96,94,1604,0,5092.0,0,0.0,0,0,2009.0,5,0,0.8947
2a8d4e18e68a7e,6cfd4fd8869a86,c8c8cf8ff8079a,0,0,193.3,0,0,3,36,1129,1,1,7.136,1371,duo-fpp,49,47,-1,0,0.0,0,0.0,0,0,874.0,5,1504,0.5833
c64b38b48dcdb8,d45d9ef349a77c,434177a41ec50b,2,3,270.8,2,0,5,12,0,2,1,111.7,1297,squad,26,25,1543,0,0.0,0,0.0,0,0,2887.0,5,0,0.92
1cf6b46c0695b2,a9ea36bbf4b78b,aa99ab10cf15d6,2,2,226.0,1,0,6,40,0,0,0,0.0,1284,squad,27,27,1532,0,683.3,0,0.0085,0,0,2435.0,9,0,0.9231
a59282ebf0ab75,9c1a007d2d6ce3,796a8edef3f2ee,1,0,54.18,0,0,0,53,1000,0,0,0.0,1382,duo-fpp,50,49,-1,0,0.0,0,0.0,0,0,1228.0,3,1500,0.8776
603c693571333a,3a06191758f510,d65b2eff2f2d18,0,0,0.0,0,0,0,73,1021,0,0,0.0,1297,duo-fpp,48,47,0,0,0.0,0,0.0,0,0,344.3,2,1465,0.3191
b004a2ca17f926,808aadd6fbb208,a3a927ba4f46ac,0,0,0.0,0,0,0,56,1182,0,0,0.0,1413,squad-fpp,26,24,-1,0,0.0,0,0.0,0,0,23.44,0,1308,0.6
d427e799530f78,753ce5a025946d,b0c5f27c6f3982,0,0,74.58,0,0,1,52,0,0,0,0.0,1860,squad-fpp,23,23,1626,0,3984.0,0,0.0,0,0,1042.0,8,0,0.4545
2348bd52fd3d79,875a0afb8784fb,631ec3f82b6800,0,2,194.9,2,0,2,31,1133,1,1,1.556,1884,squad-fpp,28,27,-1,0,0.0,0,0.0,0,0,757.5,3,1483,0.4444
dd9856cf47f03f,716bfde6f2d933,5107381cc9dac8,0,0,100.0,0,0,0,40,0,1,1,5.619,1487,duo,48,47,1471,0,0.0,0,0.0,0,0,405.0,1,0,0.234
6cf7d8e7a67851,13a9fe85049b47,00086c74bb4efc,0,0,0.0,0,0,0,81,0,0,0,0.0,1465,duo-fpp,49,48,1480,0,0.0,0,0.0,0,0,91.49,2,0,0.1875
4a4163ad05d693,1a5a8c6eced717,731541df7d6f71,1,0,98.6,1,0,2,30,0,1,1,10.12,1424,duo-fpp,48,46,1511,1,0.0,0,0.0,0,0,2124.0,5,0,0.6383
e719fd5d70d74f,3a2faa00600ad4,192d8f2e3237f9,0,4,0.0,0,0,1,49,0,0,0,0.0,1367,duo-fpp,49,48,1457,0,0.0,0,0.0,0,0,2344.0,9,0,0.9167
056f07f0ee216d,8b0006d657e598,d78d3ae81b77c4,0,0,0.0,0,0,0,93,1007,0,0,0.0,1973,solo,99,96,-1,0,0.0,0,0.0,0,0,102.1,0,1481,0.0612
3f0747ae1de21c,7e485e405e7326,ce291d376cd809,0,0,100.0,0,0,0,40,0,1,1,0.7682,1842,solo-fpp,96,90,1505,0,0.0,0,0.0,0,0,4.392,0,0,0.0105
e226def2d33b9c,b29e008113e0e1,23c98cbd7317bf,1,2,173.5,0,0,0,27,1162,1,1,18.12,1487,squad,26,26,-1,0,1871.0,0,0.0,0,0,930.1,6,1510,0.52
bc6e7862541300,6c76c215355d10,c7664989d28320,0,2,91.12,0,0,2,56,0,0,0,0.0,1760,squad-fpp,29,28,1247,0,0.0,0,0.0,0,0,406.6,4,0,0.4643
8be15ad37ae633,3ff960637801f0,ffe7d37a82297b,0,0,100.0,1,0,0,95,1386,0,0,0.0,1323,duo-fpp,49,48,-1,0,0.0,0,0.0,0,0,55.39,1,1546,0.0208
7fb111475e0d71,28c361871761d3,4720dc71cfb749,0,0,66.22,0,0,0,88,1346,0,0,0.0,1813,squad,28,28,0,0,0.0,0,0.0,0,0,33.55,1,1467,0.037
9c300bf6422d33,e0c13d0f7ae124,386448ec12e472,0,1,161.9,1,1,0,44,1372,1,1,19.38,1430,squad-fpp,30,30,-1,0,0.0,0,0.0,0,0,84.61,2,1541,0.1034
22da4d8c59fa84,f2dc3c289f0b98,191a96634c9d6e,0,1,79.98,0,0,1,53,1023,0,0,0.0,1262,squad-fpp,27,27,-1,1,0.0,0,0.0,0,0,2166.0,4,1499,0.6154
c3aaf366efcc09,c8aa01dc92fc43,44adff96caa634,1,0,176.4,1,1,10,11,994,2,1,191.9,1883,squad,31,30,-1,0,6485.0,0,0.0,0,0,2022.0,6,1487,0.9667
b1fe405b7da146,e4ec0a3a6a789b,7988e6db24bf3d,0,0,184.1,2,0,1,17,0,2,1,111.6,1394,squad,28,28,1457,0,0.0,0,0.0,2,0,312.6,5,0,0.4074
42244ab12fa2ee,1b200c617628d3,0d2da4151d0eb8,0,0,269.2,2,0,0,32,0,1,1,27.52,1776,squad-fpp,30,27,1300,0,0.0,0,0.0,0,0,48.97,1,0,0.0345
2a758afdf0e076,c37e6e66b03a8a,af949a8b60f6ce,0,0,100.0,1,0,0,63,0,0,0,0.0,1374,squad,29,27,1487,0,0.0,0,0.0,0,0,657.1,3,0,0.3214
957eda237ffcc8,cadefeda99a049,f8633dfe225545,0,0,213.0,3,0,1,21,0,2,2,23.11,1285,squad-fpp,27,26,1442,0,0.0,0,59.95,0,0,704.7,4,0,0.4231
352a6fa5bd6944,6e86c992fd6e22,f5f36497d86ce6,0,1,0.0,0,0,0,65,0,0,0,0.0,1369,squad-fpp,29,29,1431,0,863.9,0,0.0,0,0,913.5,2,0,0.4286
0d12882cf8e7ce,fbcb938871ba07,a59365efdfc0b4,0,1,155.8,2,0,3,34,0,1,1,36.35,2155,squad-fpp,28,27,1725,0,154.1,0,0.0,0,0,1340.0,7,0,0.3333
7787c0fb33f950,d0dfe667a5cee1,d186559c4c8bb1,0,1,0.0,0,0,0,71,0,0,0,0.0,1369,squad-fpp,31,30,1373,0,0.0,0,0.0,0,0,95.47,3,0,0.3667
688e7b04aa5baa,4390bf4dcdca62,1c6dd9aed94b4c,0,3,70.73,0,0,0,52,1025,0,0,0.0,1927,solo-fpp,98,91,-1,0,0.0,0,0.0,0,0,1965.0,4,1504,0.6289
ae06c98622c94e,afb6595d3ad2d9,d9b27b078c935d,0,0,0.0,0,0,0,72,0,0,0,0.0,1399,solo-fpp,93,88,1584,0,0.0,0,0.0,0,0,81.52,1,0,0.1848
518953dd14b9c5,bc7ac423a7dac0,e2057e59adca59,0,4,442.2,0,1,2,4,0,4,1,59.46,1455,solo,99,95,1500,0,0.0,0,0.0,0,0,3170.0,5,0,0.7347
54570f37471de4,3e7ebf95b2de76,2511a45c6935cc,0,1,70.73,0,0,0,81,997,0,0,0.0,1400,squad-fpp,27,25,-1,0,0.0,0,0.0,0,0,275.5,2,1488,0.2692
63f7feb7a37fc4,da6da9540da5d0,8a4181d74c9e1b,0,0,0.0,0,0,0,84,0,0,0,0.0,1964,duo,48,48,1492,0,0.0,0,0.0,0,0,85.92,0,0,0.1489
733d63bd3912f0,ab15e6fd00f0d6,ad9a96928245fb,1,7,672.5,6,0,6,10,1461,3,2,25.4,1891,squad,26,26,-1,0,7306.0,0,0.0,0,0,2115.0,5,1550,0.68
729e4517f5c0e7,ac95399f44362a,2ae8a42ea24269,0,0,0.0,0,0,0,49,0,0,0,0.0,1241,duo-fpp,48,46,1497,0,0.0,0,0.0,0,0,26.25,2,0,0.6383
4a002b61aee950,47bec9609207e1,1031dc644cbd4b,0,0,28.59,0,0,1,58,0,0,0,0.0,1330,squad-fpp,27,27,1446,0,0.0,0,0.0,0,0,1275.0,4,0,0.6923
423e7c81c1c876,1f01da8994a507,614ec0e91d7914,1,1,103.7,0,0,2,54,1284,0,0,0.0,1959,duo,48,46,-1,0,4803.0,0,0.0,0,0,1210.0,5,1541,0.5745
75c481aaaa131e,84af6b2fa7576f,ab81506dfc47f9,0,0,0.0,0,0,0,73,0,0,0,0.0,1825,squad,29,27,1455,0,0.0,0,0.0,0,0,12.09,0,0,0.1786
34add41733c952,d4a03e277c1db2,07c4ec8955a7d8,1,1,294.9,1,0,1,29,0,1,1,20.61,1332,duo-fpp,46,45,1511,0,0.0,0,0.0,0,0,1449.0,5,0,0.7778
e95e6b1df85351,45f180010c8de6,1fe6c71f28dd6e,0,0,0.0,0,0,0,92,1147,0,0,0.0,1437,squad-fpp,28,27,-1,0,0.0,0,0.0,0,0,60.6,0,1481,0.037
ac352564c78fcb,0a42a04f63eab2,cd942968dee508,0,0,0.0,0,0,0,83,980,0,0,0.0,1856,squad-fpp,28,28,-1,0,0.0,0,0.0,0,0,13.6,1,1467,0.1852
3b63aa9cb88282,425202c53e8ce1,2ab8ef7955d1d9,0,0,0.0,0,0,0,76,0,0,0,0.0,1349,duo-fpp,46,44,1562,0,0.0,0,0.0,0,0,78.14,3,0,0.1333
b6f61caa9dc62d,e62b162884a2cb,e52ff048565f3d,0,0,225.8,2,0,1,35,0,1,1,5.481,1395,duo,48,48,1505,0,0.0,0,0.0,0,0,211.8,1,0,0.2553
05547a74dbf34a,270e8dd5b07f73,555e4c5984e228,0,0,178.1,2,0,0,47,1445,1,1,5.791,1270,squad-fpp,29,29,-1,0,0.0,0,0.0,1,0,294.9,2,1505,0.1071
db65086d84062d,f2d6a29cbcd359,843ab5bb72954a,0,1,100.0,0,0,1,37,1031,1,1,33.46,1964,solo-fpp,97,95,-1,0,0.0,0,0.0,0,0,483.8,4,1497,0.3542
cb84046b4ff44a,85a60d0d68d589,7265f615ea76a9,0,2,536.8,3,3,4,2,1465,5,1,83.51,1325,squad-fpp,30,29,-1,1,0.0,0,0.0,0,0,1564.0,4,1496,0.7586
e6e3481d79da1c,fd0101e19b4bb9,26be0961b5f389,2,7,416.5,4,1,4,4,1307,4,2,30.76,1328,squad-fpp,28,28,-1,0,0.0,0,0.0,0,0,2191.0,4,1494,0.8148
30ed982be5cde1,84fb35a27436ef,9c2245d8a37df8,0,0,100.0,1,0,0,34,1177,1,1,3.088,1828,squad-fpp,25,25,-1,0,0.0,0,0.0,0,0,10.8,1,1532,0.0
3266e6b56b7a4a,86637f5fe74e1e,6604fe14460e99,0,0,0.0,0,0,0,78,1007,0,0,0.0,1960,solo,96,92,-1,0,0.0,0,0.0,0,0,178.2,2,1504,0.2316
e6d69d59bb2bf0,ab3c76dd123b3f,4aeb53f3815b73,0,7,696.2,3,1,3,2,1330,7,2,31.61,1365,duo-fpp,48,47,-1,2,0.0,0,0.0,0,0,1889.0,5,1448,0.9787
0fbfc7bbb66f4d,11bae5ac2feae0,8c98ac0f617ee1,1,5,128.7,1,0,6,21,0,1,1,83.13,1879,duo,48,43,1474,0,4072.0,0,0.0,0,0,3138.0,5,0,0.9362
